Instances,,,CAmpactor,,,,CAmpactor-Short,,,,SamplingCA,,,,AutoCCAG,,,,FastCA,,,,TCA,,,,HHSA,,,,CASA,,,,ACTS,,,,CTLog,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
frv400,,47,48.9,203.5680,,78,83.6,39.0230,,102,106.7,30.7670,,85,89.8,398.7490,,84,89.3,147.8500,,95,100.4,39.0230,,-,-,-,,-,-,-,,-,-,-,,-,-,-
gps4020,,44,46.3,222.0880,,78,83.3,33.9890,,98,102.7,28.3540,,82,84.9,350.6170,,81,84.7,149.3570,,91,97.3,33.9890,,-,-,-,,-,-,-,,-,-,-,,-,-,-
grg,,47,49.0,236.8630,,83,88.4,37.1720,,105,107.2,30.8120,,86,89.8,330.2100,,87,90.3,159.8790,,96,101.2,37.1720,,-,-,-,,-,-,-,,-,-,-,,-,-,-
h8300h_sim,,43,44.6,203.3320,,74,77.1,33.5180,,98,100.7,26.4620,,80,82.9,508.2230,,80,82.6,365.4450,,91,94.2,33.5180,,-,-,-,,163,171.5,3582.7750,,-,-,-,,-,-,-
h8max,,48,49.8,228.8210,,80,84.9,36.6500,,104,107.5,29.2670,,86,88.5,895.2590,,85,88.8,103.8240,,96,100.9,36.6500,,-,-,-,,-,-,-,,-,-,-,,-,-,-
h8s_sim,,44,45.4,212.5320,,73,76.4,33.1690,,96,98.4,25.9110,,76,81.3,695.0520,,78,81.2,142.5870,,88,92.1,33.1690,,-,-,-,,169,170.5,3562.4750,,-,-,-,,-,-,-
hs7729pci,,62,64.4,439.1580,,111,117.3,53.0570,,134,138.8,43.7570,,112,119.1,266.7270,,112,119.0,763.1500,,126,130.9,53.0570,,-,-,-,,-,-,-,,-,-,-,,-,-,-
innovator,,64,67.3,413.5840,,111,116.9,49.6750,,138,141.4,41.4390,,115,119.6,198.8600,,113,119.0,641.1650,,128,132.5,49.6750,,-,-,-,,-,-,-,,-,-,-,,-,-,-
integrator_arm7,,46,48.7,237.4030,,86,89.9,39.2740,,104,110.4,32.5650,,86,90.2,107.0160,,86,90.2,558.5570,,99,103.2,39.2740,,-,-,-,,-,-,-,,-,-,-,,-,-,-
integrator_arm9,,58,60.1,324.8720,,103,105.3,43.3300,,118,122.1,37.1090,,101,105.0,383.0710,,101,105.1,886.6670,,115,117.1,43.3300,,-,-,-,,-,-,-,,-,-,-,,-,-,-
ipaq,,45,46.6,214.2650,,81,84.7,37.1550,,99,103.8,30.7800,,82,86.2,89.7100,,82,86.3,414.9470,,95,98.1,37.1550,,-,-,-,,-,-,-,,-,-,-,,-,-,-
iq80310,,46,49.4,267.9990,,81,85.8,39.4110,,103,106.5,31.5630,,84,89.8,596.0360,,85,90.0,336.7100,,97,100.2,39.4110,,-,-,-,,-,-,-,,-,-,-,,-,-,-
iq80321,,48,50.0,226.4180,,79,83.3,40.4490,,105,106.5,31.6790,,87,90.2,453.1060,,88,91.0,295.3900,,93,100.0,40.4490,,-,-,-,,-,-,-,,-,-,-,,-,-,-
ixdp425,,47,49.3,242.8000,,81,85.1,39.0700,,103,107.6,31.4510,,84,88.6,672.5060,,85,88.9,127.2250,,96,101.6,39.0700,,-,-,-,,-,-,-,,-,-,-,,-,-,-
jmr3904,,45,46.4,173.4720,,76,78.8,35.2120,,100,102.2,27.6630,,81,84.1,1131.7590,,80,83.9,114.2940,,89,94.8,35.2120,,-,-,-,,-,-,-,,-,-,-,,-,-,-
jtst,,44,45.8,277.8560,,81,83.6,36.0410,,99,102.9,29.7320,,83,86.6,568.7010,,84,86.2,122.9060,,93,98.1,36.0410,,-,-,-,,-,-,-,,-,-,-,,-,-,-
linux,,51,53.9,279.1990,,91,98.1,38.2220,,111,115.3,32.9330,,94,97.6,257.0280,,92,97.7,163.2050,,106,110.0,38.2220,,-,-,-,,-,-,-,,-,-,-,,-,-,-
lpcmt,,43,45.9,270.4730,,78,82.8,36.7070,,98,103.3,29.9540,,81,85.8,331.4760,,81,85.6,140.8010,,93,97.5,36.7070,,-,-,-,,-,-,-,,-,-,-,,-,-,-
m5272c3,,50,51.9,276.8600,,86,92.5,45.6940,,110,112.7,37.1850,,91,95.9,67.5290,,90,95.8,384.4510,,101,107.6,45.6940,,-,-,-,,-,-,-,,-,-,-,,-,-,-
mac7100evb,,43,45.0,236.6980,,76,79.4,37.0150,,96,100.8,29.4970,,80,83.2,302.6610,,81,83.8,149.2750,,90,95.7,37.0150,,-,-,-,,-,-,-,,-,-,-,,-,-,-
mace1,,44,45.7,261.9790,,80,84.3,34.5430,,97,101.3,29.2440,,80,83.9,663.1160,,80,83.9,135.3830,,93,96.5,34.5430,,-,-,-,,-,-,-,,-,-,-,,-,-,-
malta_mips32_4kc,,47,49.9,244.1610,,87,89.8,38.5040,,110,112.0,31.8110,,88,91.9,596.1260,,88,91.6,148.6860,,101,106.0,38.5040,,-,-,-,,-,-,-,,-,-,-,,-,-,-
malta_mips64_5kc,,47,49.0,299.8100,,84,86.9,38.7870,,106,110.1,31.1150,,85,91.3,291.8800,,85,91.1,240.5400,,100,103.7,38.7870,,-,-,-,,-,-,-,,-,-,-,,-,-,-
mb93091,,47,48.4,307.0120,,83,86.5,38.2920,,103,106.3,31.0610,,85,89.3,325.9230,,84,89.2,493.4880,,97,101.5,38.2920,,-,-,-,,-,-,-,,-,-,-,,-,-,-
mb93093,,46,48.7,299.0760,,82,86.8,36.8790,,104,107.1,30.3820,,88,90.4,328.8060,,88,90.6,260.2460,,98,101.8,36.8790,,-,-,-,,-,-,-,,-,-,-,,-,-,-
mbx,,48,49.8,292.3810,,79,88.6,40.5200,,100,107.5,33.6640,,85,89.5,140.7220,,85,89.6,368.0690,,96,102.4,40.5200,,-,-,-,,-,-,-,,-,-,-,,-,-,-
mcb2100,,44,45.0,253.8680,,78,81.9,36.7080,,100,102.2,29.5930,,81,85.4,48.9790,,82,85.1,134.1540,,93,96.5,36.7080,,-,-,-,,-,-,-,,-,-,-,,-,-,-
moab,,49,51.2,320.4540,,87,90.7,43.0890,,110,114.2,34.6890,,92,95.6,89.0750,,93,95.8,521.1060,,101,106.7,43.0890,,-,-,-,,-,-,-,,-,-,-,,-,-,-
mpc50,,43,45.0,253.2570,,77,80.3,34.7800,,96,100.9,28.3250,,80,83.3,99.4740,,79,83.1,383.2820,,86,95.2,34.7800,,-,-,-,,-,-,-,,-,-,-,,-,-,-
nano,,51,53.6,331.0430,,89,91.8,44.3330,,112,115.2,35.1320,,92,96.9,331.0740,,92,97.3,141.9890,,106,108.5,44.3330,,-,-,-,,-,-,-,,-,-,-,,-,-,-
npwr,,47,48.8,324.4070,,78,82.3,41.4520,,104,107.0,31.6710,,86,88.5,616.5660,,85,88.7,153.9080,,98,101.2,41.4520,,-,-,-,,-,-,-,,-,-,-,,-,-,-
ocelot,,48,49.0,328.4790,,79,80.6,43.4830,,103,107.2,32.2570,,85,89.5,242.2070,,87,89.6,307.9500,,97,100.6,43.4830,,-,-,-,,-,-,-,,-,-,-,,-,-,-
olpce2294,,48,49.7,314.2180,,83,85.6,43.8050,,106,109.8,33.3790,,91,93.4,414.0910,,91,92.9,509.5700,,102,103.9,43.8050,,-,-,-,,-,-,-,,-,-,-,,-,-,-
olpch2294,,44,45.9,277.4770,,76,78.2,41.8280,,101,104.6,31.3600,,83,86.6,458.3080,,82,87.2,287.5080,,91,98.4,41.8280,,-,-,-,,-,-,-,,-,-,-,,-,-,-
