Instances,,,AutoCCAG (using SamplingCA as its initialization algorithm),,,,AutoCCAG (using its original initialization algorithm),,,,FastCA (using SamplingCA as its initialization algorithm),,,,FastCA (using its original initialization algorithm),,,,TCA (using SamplingCA as its initialization algorithm),,,,TCA (using its original initialization algorithm),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
olpce2294,,91,93.4,414.0910,,179,188.0,1475.3770,,91,92.9,509.5700,,179,188.0,1509.7130,,102,103.9,43.8050,,222,229.1,983.5110
olpch2294,,83,86.6,458.3080,,162,172.6,1676.3750,,82,87.2,287.5080,,160,172.5,1522.3070,,91,98.4,41.8280,,195,206.8,919.7360
olpcl2294,,91,93.4,52.8100,,178,185.7,1538.9400,,90,93.6,157.6520,,178,186.8,1345.4540,,101,104.5,41.6380,,213,222.5,1010.9160
p2106,,83,86.9,48.6200,,159,167.5,1522.9870,,83,86.6,196.6410,,158,167.4,1307.6200,,96,97.9,37.1610,,182,201.8,901.3180
pati,,80,83.8,312.4420,,153,164.2,1386.1240,,80,84.4,416.6340,,154,165.0,1128.6890,,91,96.3,37.6180,,187,197.8,890.8520
pc_i82544,,89,93.9,50.3950,,174,185.9,1897.9240,,91,93.7,342.6880,,175,185.9,1324.4300,,98,104.2,44.3350,,211,222.8,945.5770
pc_i82559,,92,94.4,381.6780,,188,193.0,1414.6890,,92,94.2,169.5740,,191,194.2,1363.1800,,98,106.4,42.4250,,219,231.5,943.5890
pc_rltk8139,,93,98.5,60.1860,,189,197.4,1440.7580,,94,98.5,114.8330,,190,197.8,1247.9320,,104,110.0,43.2420,,232,239.2,986.1480
pc_usb_d12,,82,89.2,46.7030,,163,173.9,1759.5650,,82,88.8,545.6600,,165,175.1,1701.5560,,95,100.2,41.9110,,203,208.9,993.0160
pc_vmWare,,89,92.8,60.3500,,180,187.6,1809.8680,,88,92.7,426.9250,,181,188.7,1161.3390,,100,106.0,38.0310,,213,222.7,929.6880
phycore,,83,86.0,49.9430,,160,168.3,2450.3100,,83,85.7,327.6130,,160,168.7,1809.2740,,91,97.4,42.2390,,188,200.4,962.2440
phycore229x,,89,92.5,81.2460,,178,188.4,1932.9160,,89,92.7,486.1940,,178,188.7,1540.2230,,99,105.2,48.2030,,209,230.0,1132.2360
picasso,,87,90.2,53.5350,,172,184.6,1231.2030,,87,89.9,271.0380,,175,185.2,1196.9260,,99,101.7,40.1560,,206,218.0,893.5030
